id,activity_hour,total_intensity,average_intensity
1503960366,4/12/2016,20,0.33
1503960366,4/12/2016,8,0.13
1503960366,4/12/2016,7,0.12
1503960366,4/12/2016,0,0
1503960366,4/12/2016,13,0.22
1503960366,4/12/2016,30,0.5
1503960366,4/12/2016,29,0.48
1503960366,4/12/2016,12,0.2
1503960366,4/12/2016,11,0.18
1503960366,4/12/2016,6,0.1
1503960366,4/12/2016,36,0.6
1503960366,4/12/2016,58,0.97
1503960366,4/12/2016,16,0.27
1503960366,4/12/2016,39,0.65
1503960366,4/12/2016,41,0.68
1503960366,4/12/2016,31,0.52
1503960366,4/12/2016,9,0.15
1503960366,4/12/2016,21,0.35
1503960366,4/13/2016,14,0.23
1503960366,4/13/2016,0,0
1503960366,4/13/2016,4,0.07
1503960366,4/13/2016,8,0.13
1503960366,4/13/2016,12,0.2
1503960366,4/13/2016,27,0.45
1503960366,4/13/2016,15,0.25
1503960366,4/13/2016,16,0.27
1503960366,4/13/2016,10,0.17
1503960366,4/13/2016,46,0.77
1503960366,4/13/2016,13,0.22
1503960366,4/13/2016,23,0.38
1503960366,4/13/2016,25,0.42
1503960366,4/13/2016,11,0.18
1503960366,4/13/2016,56,0.93
1503960366,4/14/2016,4,0.07
1503960366,4/14/2016,3,0.05
1503960366,4/14/2016,0,0
1503960366,4/14/2016,14,0.23
1503960366,4/14/2016,23,0.38
1503960366,4/14/2016,7,0.12
1503960366,4/14/2016,18,0.3
1503960366,4/14/2016,54,0.9
1503960366,4/14/2016,22,0.37
1503960366,4/14/2016,25,0.42
1503960366,4/14/2016,5,0.08
1503960366,4/14/2016,12,0.2
1503960366,4/14/2016,1,0.02
1503960366,4/14/2016,24,0.4
1503960366,4/14/2016,57,0.95
1503960366,4/14/2016,17,0.28
1503960366,4/15/2016,6,0.1
1503960366,4/15/2016,5,0.08
1503960366,4/15/2016,7,0.12
1503960366,4/15/2016,0,0
1503960366,4/15/2016,1,0.02
1503960366,4/15/2016,2,0.03
1503960366,4/15/2016,8,0.13
1503960366,4/15/2016,23,0.38
1503960366,4/15/2016,13,0.22
1503960366,4/15/2016,9,0.15
